Cod. Cliente;Data da Resposta;Nota NPS;Nota Agilidade;Nota Conhecimento;Nota Custo;Nota Facilidade;Nota Flexibilidade
TB1393;2025-02-26;8;9;8;8;8;9
TFEEGY;2025-02-25;10;8;10;6;6;10
TFCUYM;2025-02-25;1;;;;;
TFCUYM;2025-02-25;8;;;;;
TFCUYM;2025-02-25;8;;;;;
TFCUYM;2025-02-25;1;;;;;
TFCUYM;2025-02-25;3;;;;;
TFCUYM;2025-02-25;3;;;;;
TFEEAG;2025-02-18;10;10;10;10;10;10
TFEDWL;2025-02-18;9;9;6;6;7;6
TFEBQC;2025-02-11;10;10;10;10;10;10
TFEDWT;2025-02-07;0;;;;;
TFEDXA;2025-02-04;9;;;;;
TFEDY6;2025-02-04;10;10;10;10;10;10
TFEDG2;2025-02-04;10;;;;;
TFEDDH;2025-01-29;10;10;10;10;10;10
TFEDLA;2025-01-28;0;;;;;
TFEDKO;2025-01-14;0;;;;;
TFEDBX;2025-01-14;2;1;5;4;10;4
TFEDI3;2025-01-08;10;;;;;
TFECZW;2024-12-10;7;;;;;
TFECQM;2024-12-03;0;;;;;
TFEBY3;2024-12-03;10;5;5;5;5;7
4,64404E+13;2024-12-03;10;10;10;8;8;9
3,33588E+13;2024-12-03;9;10;10;10;9;9
TFECRT;2024-12-03;7;;;;;
None;2024-12-03;10;10;10;10;10;10
TFEC78;2024-11-26;10;10;10;10;10;10
TFEBZX;2024-11-21;10;8;9;7;8;9
TFECAR;2024-11-19;10;;;;;
TFEBYQ;2024-11-19;10;;;;;
TFECAQ;2024-11-12;10;10;10;10;10;10
TFEBPU;2024-11-12;10;10;10;10;10;10
TFCYM3;2024-11-05;10;10;10;10;10;10
TFEC06;2024-11-05;10;;;;;
TFEC69;2024-11-05;9;10;10;6;10;8
TFEBPP;2024-10-22;10;;;;;
TFDVTE;2024-10-15;8;;;;;
TFDXY6;2024-10-15;6;;;;;
TFEBL9;2024-10-11;10;10;10;7;7;10
TFEBSJ;2024-10-08;8;;;;;
TFEBOL;2024-10-08;10;10;10;10;10;10
TFEBFB;2024-10-08;8;;;;;
TFEBKG;2024-10-02;10;9;10;10;9;10
