Cod. Cliente;Data da Resposta;Nota NPS;Nota Metodologia;Nota Gestao;Nota Conhecimento;Nota Qualidade;Nota Comunicacao;Nota Prazos
TFDIFA;2025-02-28;7;7;9;9;9;9;9
TFDCPS;2025-02-27;8;9;10;10;10;9;10
T54898;2025-02-27;8;8;9;8;7;8;7
TFDFBK;2025-02-27;9;8;9;9;9;9;9
T11185;2025-02-26;10;10;10;10;10;10;8
T10397;2025-02-26;7;4;4;6;6;6;6
TDCA4S;2025-02-26;10;;;;;;
T98600;2025-02-21;10;8;8;9;9;9;9
TFECBX;2025-02-21;10;10;10;10;10;10;10
T14063;2025-02-20;9;;;;;;
T92215;2025-02-20;10;10;10;10;10;10;10
T07167;2025-02-19;9;;;;;;
TFDV35;2025-02-19;10;10;10;10;9;9;9
TFD857;2025-02-19;10;10;10;10;10;10;10
TFDUVT;2025-02-19;10;9;9;9;9;9;9
T42051;2025-02-18;8;7;7;8;7;7;6
TFDIB9;2025-02-18;0;;;;;;
TFDUQP;2025-02-18;4;4;4;4;4;6;6
TFECXK;2025-02-18;8;8;9;9;9;9;8
TFDTQL;2025-02-18;2;2;8;2;2;8;8
TFDRWM;2025-02-18;0;;;;;;
TEZDGD;2025-02-18;8;9;8;10;10;8;8
T41463;2025-02-18;8;8;9;8;8;8;7
TDC1KW;2025-02-18;4;4;4;4;4;4;4
TFECH8;2025-02-18;10;10;10;10;10;10;10
T16098;2025-02-17;10;10;10;10;10;10;10
TFDVAM;2025-02-14;10;10;10;9;10;10;10
TAACCI;2025-02-13;9;7;9;9;9;9;9
TFDUQO;2025-02-12;10;10;10;10;10;10;10
T44585;2025-02-12;10;10;10;10;10;10;10
TFDPIO;2025-02-12;9;10;10;7;8;10;9
TDC167;2025-02-12;8;;;;;;
T25162;2025-02-11;10;;;;;;
T27782;2025-02-11;10;;;;;;
TFCSFC;2025-02-10;10;8;10;9;9;10;9
TFDRCN;2025-02-05;9;10;10;10;10;9;10
TFDQED;2025-02-05;9;;;;;;
T57154;2025-02-05;8;3;8;8;7;8;3
T48003;2025-02-05;10;8;8;8;10;10;10
T43232;2025-02-04;6;;;;;;
T76135;2025-02-04;0;1;0;2;0;1;2
T60456;2025-02-04;3;;;;;;
TFDPWP;2025-02-04;0;0;0;0;0;0;0
T16451;2025-02-04;10;10;10;10;10;10;10
TFCVYL;2025-02-04;0;;;;;;
TFDQYY;2025-02-04;8;8;8;8;8;9;9
TEWLT7;2025-02-04;9;9;9;9;9;9;8
TEZJW9;2025-02-04;6;5;8;8;5;8;3
TFDRN3;2025-02-04;2;0;5;6;5;6;0
TCALBM;2025-02-04;9;;;;;;
T08186;2025-02-04;3;5;7;7;5;3;7
TFDJAG;2025-02-04;10;9;10;9;9;10;8
TFDUCS;2025-02-03;10;9;10;10;10;10;10
T60706;2025-02-03;9;;;;;;
TFDUJ6;2025-02-03;9;10;10;10;10;10;10
T02838;2025-01-30;10;10;10;10;10;10;10
TFDVCM;2025-01-30;10;10;10;10;10;10;10
TFEBZY;2025-01-29;9;10;9;9;10;10;10
TFDFSL;2025-01-28;6;6;6;4;5;5;4
T35145;2025-01-28;10;10;10;10;10;10;10
TEXHX1;2025-01-28;2;2;3;3;3;3;1
TFDRJO;2025-01-28;10;;;;;;
TFDOAK;2025-01-28;10;9;9;10;9;10;7
TEZBZW;2025-01-28;1;1;0;2;2;0;0
T56201;2025-01-28;0;;;;;;
T49440;2025-01-28;7;8;8;8;8;8;8
TFDVKR;2025-01-28;10;10;10;10;10;10;10
T25054;2025-01-28;6;6;6;7;6;6;1
TFCAUO;2025-01-23;8;;;;;;
TEZHKB;2025-01-21;10;;;;;;
T07199;2025-01-21;1;;;;;;
TFDFUC;2025-01-21;0;7;8;8;6;8;0
TEZFJK;2025-01-21;10;10;10;10;10;10;10
TFCJPN;2025-01-21;10;10;10;9;10;10;10
T48396;2025-01-21;6;;;;;;
T22498;2025-01-21;6;;;;;;
TFDQPK;2025-01-20;5;;;;;;
TFDS58;2025-01-14;8;7;6;7;6;6;5
TFCP64;2025-01-14;0;7;0;7;7;5;7
T57922;2025-01-14;8;;;;;;
TDC1KS;2025-01-14;8;8;8;9;9;8;10
TEZOV3;2025-01-14;10;;;;;;
TFDQVC;2025-01-14;9;;;;;;
TFDVMI;2025-01-14;9;8;8;9;8;8;8
TEXCRO;2025-01-14;10;10;10;10;10;10;10
TFCTB6;2025-01-14;5;;;;;;
T51367;2025-01-14;2;;;;;;
T44079;2025-01-11;10;10;10;10;10;10;10
TFDDS5;2025-01-09;3;;;;;;
TFCA40;2025-01-09;5;;;;;;
TFD544;2025-01-09;9;;;;;;
TEZNC7;2025-01-09;9;10;10;10;10;10;10
T08159;2025-01-09;10;;;;;;
T02283;2025-01-09;10;9;9;10;10;10;10
T22616;2025-01-09;7;9;7;7;7;7;7
TEZGEM;2025-01-09;1;;;;;;
TDC1H5;2025-01-09;10;9;9;9;9;9;10
T17941;2025-01-08;7;;;;;;
T25616;2025-01-08;9;8;9;8;9;9;9
T25572;2025-01-08;4;;;;;;
T14037;2025-01-08;5;;;;;;
T45266;2025-01-08;0;2;5;2;2;2;2
TFAIMX;2025-01-08;5;;;;;;
T16292;2025-01-08;1;2;2;2;2;2;2
TFEBO1;2025-01-08;0;5;3;3;5;3;5
TFDPXB;2025-01-08;0;;;;;;
TFDRGY;2025-01-08;7;;;;;;
TFDURJ;2025-01-08;3;;;;;;
T40164;2025-01-08;3;;;;;;
T07602;2025-01-08;6;;;;;;
TEZORX;2025-01-08;6;;;;;;
T02250;2025-01-08;0;;;;;;
T43739;2025-01-03;10;10;10;10;10;10;10
T38245;2025-01-02;4;5;6;5;5;3;5
TFDTVN;2025-01-02;3;7;4;3;3;3;4
TFDAAC;2025-01-02;0;8;8;8;8;0;8
T05890;2025-01-02;10;10;10;9;9;10;10
TFCRYN;2024-12-31;7;8;9;9;9;8;9
TFDUGN;2024-12-26;8;5;7;7;7;7;7
TFDEGM;2024-12-26;6;;;;;;
TFEBR2;2024-12-26;10;9;9;10;9;10;9
T57177;2024-12-25;9;9;9;9;9;9;9
TEZEGF;2024-12-24;6;;;;;;
TFDCY7;2024-12-24;8;7;9;7;6;6;7
TFDSMX;2024-12-24;0;0;3;3;3;3;3
T37898;2024-12-24;6;;;;;;
T51308;2024-12-24;2;;;;;;
T07059;2024-12-24;2;;;;;;
TFCTB6;2024-12-24;3;;;;;;
TFDPXI;2024-12-19;10;9;9;10;10;10;10
TFCAW000;2024-12-18;10;10;10;10;10;10;10
T05006;2024-12-18;5;7;5;7;5;7;7
TFDSMM;2024-12-18;1;6;1;9;1;2;2
TFDQCC;2024-12-18;10;8;8;9;10;10;10
TFDNPB;2024-12-18;9;9;9;7;8;9;8
TFCNXR;2024-12-17;9;8;9;9;9;9;9
TFDRFN;2024-12-17;0;8;8;7;7;7;8
TFEC99;2024-12-17;10;10;10;10;10;9;10
TCBSFX;2024-12-17;0;7;6;5;3;3;0
TFBZM1;2024-12-17;3;;;;;;
T50995;2024-12-17;8;;;;;;
TEZFM5;2024-12-16;7;10;10;10;10;10;7
TFDUKJ;2024-12-13;9;8;8;10;9;10;10
TFCMWB;2024-12-11;9;6;9;8;8;8;7
T56348;2024-12-11;10;10;10;10;10;10;10
TFEBFF;2024-12-11;10;;;;;;
T30925;2024-12-10;0;3;3;8;5;0;8
T41239;2024-12-10;10;;;;;;
TFCAIX;2024-12-10;2;;;;;;
TDC33R;2024-12-10;2;10;1;7;5;1;0
TA3745;2024-12-10;7;;;;;;
TFDCVD;2024-12-10;8;8;2;9;9;9;9
TEZAWT;2024-12-10;10;9;9;10;9;9;10
TFCXUX;2024-12-04;8;;;;;;
T52253;2024-12-04;10;6;10;9;9;9;9
T52432;2024-12-04;3;8;5;4;4;5;4
TFEBSB;2024-12-03;7;5;5;8;7;7;5
TEZKIR;2024-12-03;9;;;;;;
T26503;2024-12-03;10;10;10;10;10;10;10
TFDU95;2024-12-03;9;;;;;;
T34913;2024-12-03;4;;;;;;
TFCXEV;2024-12-03;1;;;;;;
T09171;2024-12-03;6;;;;;;
TFDDO0;2024-12-03;10;;;;;;
TFBTRN;2024-12-03;10;;;;;;
T23708;2024-12-03;8;;;;;;
TFDIDX;2024-12-03;10;10;10;10;10;10;10
T09508;2024-12-03;0;;;;;;
TFDVP4;2024-12-03;0;;;;;;
T04832;2024-12-03;10;10;10;10;10;10;10
TDCGLR;2024-12-03;10;10;10;10;10;10;10
TFCWMV;2024-12-03;8;;;;;;
TDC05C;2024-12-03;6;;;;;;
T09408;2024-12-03;4;;;;;;
T19815;2024-12-03;0;0;0;8;0;0;0
TFBERI;2024-12-03;5;1;6;5;1;2;0
TFDVS2;2024-11-29;6;;;;;;
TFDTH9;2024-11-29;10;10;10;10;10;10;10
T36084;2024-11-28;10;9;9;9;9;9;9
TFDQQ6;2024-11-28;10;9;10;10;10;10;10
TFDQSS;2024-11-26;5;8;8;8;6;5;2
TFDU10;2024-11-26;9;10;10;7;9;9;9
TFDBH8;2024-11-26;10;;;;;;
T04006;2024-11-26;2;2;2;2;2;2;1
TFDR02;2024-11-26;7;6;0;7;6;6;0
TEZPE5;2024-11-26;5;;;;;;
T53678;2024-11-26;0;;;;;;
T54691;2024-11-26;6;;;;;;
TFEBS6;2024-11-22;10;7;10;10;9;9;10
TFDUXH;2024-11-21;10;10;10;10;10;10;10
T55516;2024-11-19;6;6;6;5;6;6;6
TFDO86;2024-11-19;0;0;0;0;0;0;0
T24847;2024-11-19;7;6;6;6;6;6;6
TEZLCQ;2024-11-19;4;8;8;7;7;7;7
TFCTRK;2024-11-19;0;0;0;0;0;0;0
TFBWAT;2024-11-19;10;;;;;;
TEZENA;2024-11-19;9;;;;;;
TEZNSF;2024-11-19;7;;;;;;
T16080;2024-11-19;3;0;0;6;3;4;0
TEZOVP;2024-11-19;1;0;0;2;0;0;0
TFDRF5;2024-11-19;5;;;;;;
T03314;2024-11-19;8;;;;;;
T60596;2024-11-14;10;;;;;;
TFDUPE;2024-11-13;0;1;0;8;0;0;0
TEVVV2;2024-11-13;9;9;9;8;9;10;10
TFDV08;2024-11-12;9;;;;;;
TFBXXB;2024-11-12;7;;;;;;
TFDUNS;2024-11-12;8;;;;;;
T06937;2024-11-12;10;10;10;10;10;10;10
T15017;2024-11-12;0;0;0;8;5;0;0
TFBUHO;2024-11-12;0;;;;;;
TEZEMJ;2024-11-12;3;;;;;;
T41463;2024-11-12;6;8;9;8;9;9;8
TFEBOL;2024-11-12;10;;;;;;
TEZLTL;2024-11-12;0;;;;;;
T47564;2024-11-11;10;8;10;9;8;9;9
TFCSBP;2024-11-08;8;;;;;;
TFCRKT;2024-11-06;0;0;6;0;0;0;0
T04114;2024-11-05;2;3;3;4;3;3;3
TFDF94;2024-11-05;0;;;;;;
TFDBUG;2024-11-05;6;;;;;;
T05015;2024-11-05;10;7;7;9;9;8;8
TFDQU9;2024-11-05;6;3;5;5;5;5;4
T36077;2024-11-05;10;10;10;10;10;5;10
TFBKIA;2024-11-05;8;9;9;8;8;9;9
TFCGYN;2024-11-05;8;6;6;10;6;6;6
TFDRBQ;2024-11-05;0;0;0;0;0;0;0
TEZOCM;2024-11-05;8;;;;;;
T41915;2024-11-05;3;4;5;5;3;3;3
T45774;2024-11-05;10;10;10;10;10;10;10
TFDSDJ;2024-11-05;9;;;;;;
TFCTB6;2024-11-05;2;;;;;;
T17432;2024-11-05;7;;;;;;
TFDVD7;2024-11-05;9;9;9;9;9;9;9
T75328;2024-11-05;3;;;;;;
TFEBFB;2024-11-05;5;;;;;;
T75328;2024-11-05;1;;;;;;
T76191;2024-11-05;10;10;10;10;10;10;10
T03929;2024-11-05;1;;;;;;
TFDQH5;2024-11-04;0;;;;;;
TEWBTY;2024-10-31;9;;;;;;
TFDQMS;2024-10-30;10;10;10;10;10;10;10
T37627;2024-10-29;0;5;0;0;0;0;0
TFDSP5;2024-10-29;0;;;;;;
TFDPOK00;2024-10-28;6;7;9;8;6;8;7
TEZJW9;2024-10-27;9;;;;;;
T09032;2024-10-25;10;;;;;;
T37348;2024-10-23;10;10;10;10;10;10;10
T28165;2024-10-22;10;;;;;;
T14119;2024-10-22;5;6;6;6;5;5;5
T05433;2024-10-22;9;;;;;;
TFDUVV;2024-10-22;10;;;;;;
TB2409;2024-10-22;10;9;10;9;9;10;10
T03306;2024-10-22;2;3;1;3;1;1;1
T76135;2024-10-22;10;;;;;;
T23603;2024-10-22;10;9;9;9;9;9;10
TFDNLB;2024-10-18;10;10;10;10;10;10;10
TEZOUD;2024-10-18;9;9;9;9;9;9;7
TFDGKO;2024-10-17;8;8;10;7;7;9;9
TFDUQO;2024-10-17;10;10;10;10;10;10;10
TDC0F1;2024-10-15;8;4;5;9;10;10;0
T40339;2024-10-15;6;6;6;6;6;5;5
T62516;2024-10-15;4;;;;;;
TFDUQP;2024-10-15;5;;;;;;
TEVSA8;2024-10-15;6;;;;;;
TFCTU6;2024-10-15;9;;;;;;
T4752600;2024-10-09;0;0;0;0;0;0;0
TFDJ86;2024-10-08;5;5;5;8;8;2;1
TFDGCI;2024-10-08;10;9;9;9;9;9;9
TFDRG5;2024-10-08;4;4;4;6;5;5;3
T15516;2024-10-08;8;10;9;9;9;8;10
