Data de resposta;Cod Cliente;Em uma escala de 0 a 10, quanto voce recomenda o Onboarding da TOTVS para um amigo ou colega?;Em uma escala de 0 a 10, o quanto voce acredita que o atendimento CS Onboarding ajudou no inicio da sua trajetoria com a TOTVS?;Duracao do tempo na realizacao da reuniao de Onboarding;Clareza no acesso aos canais de comunicacao da TOTVS;Clareza nas informacoes em geral transmitidas pelo CS que lhe atendeu no Onboarding;Expectativas atendidas no Onboarding da TOTVS
2025-03-26T15:49:31+00:00;TFEE05;10;10;10;10;10;10
2025-03-26T10:09:54+00:00;TFEEPH;10;10;10;10;10;10
2025-03-20T11:30:28+00:00;TFEENX;10;10;10;10;10;10
2025-03-18T12:00:03+00:00;TFEEID;10;;;;;
2025-03-17T10:33:26+00:00;TFEEGI;9;9;9;9;9;9
2025-03-11T10:32:56+00:00;TFEDYI;10;9;9;9;10;10
2025-03-07T09:01:32+00:00;TFEEFG;10;;;;;
2025-03-06T09:46:39+00:00;TB1393;10;;;;;
2025-03-05T12:52:11+00:00;TFEEDN;9;8;8;8;9;9
2025-02-27T09:13:17+00:00;TFEE44;10;9;9;10;9;9
2025-02-21T06:20:15+00:00;TFEEA3;10;10;10;10;10;10
2025-02-20T11:53:22+00:00;TFEEAA;10;10;9;10;10;10
2025-02-19T14:39:24+00:00;TFEDMU;10;10;10;10;10;10
2025-02-18T14:09:40+00:00;TFEDZZ;10;10;10;10;10;10
2025-02-17T12:24:30+00:00;TFEDW6;9;8;10;7;9;10
2025-02-13T11:27:52+00:00;TFEE28;10;10;10;10;10;10
2025-02-12T12:31:38+00:00;TFEDZD;10;10;10;10;10;10
2025-02-10T14:32:57+00:00;TFEDRA;10;10;10;10;10;10
2025-02-10T11:49:00+00:00;TFEDS5;10;10;10;10;10;10
2025-02-06T19:45:32+00:00;TFEDWL;10;10;10;10;10;10
2025-02-05T11:32:38+00:00;TFECUD;10;10;10;10;10;10
2025-01-30T13:29:20+00:00;TFEDJN;10;10;10;10;10;10
2025-01-30T11:13:46+00:00;TFEDF3;10;9;10;9;10;9
2025-01-29T15:01:30+00:00;TFEDI0;10;10;10;10;10;10
2025-01-29T14:22:05+00:00;TFEDMO;10;10;10;10;10;10
2025-01-28T14:27:28+00:00;TFEDH3;9;8;8;9;9;9
2025-01-28T08:15:45+00:00;TFEDHL;9;8;9;8;9;8
2025-01-27T14:55:04+00:00;TFCGOG;9;9;9;9;9;9
2025-01-27T11:44:14+00:00;TFEDKA;9;8;10;9;9;9
2025-01-27T09:56:11+00:00;TFEDIR;10;10;10;10;10;10
2025-01-24T15:37:25+00:00;TFEDJG;9;9;8;8;9;8
2025-01-23T19:22:50+00:00;TFEDGP;9;;;;;
2025-01-23T17:55:22+00:00;TFEDHA;8;9;10;10;10;10
2025-01-22T14:44:31+00:00;TFEDI7;10;10;10;10;10;10
2025-01-21T15:18:16+00:00;TFEDKU;9;9;9;8;9;8
2025-01-21T14:46:07+00:00;TFEDFS;10;10;10;10;10;10
2025-01-21T08:54:46+00:00;TFECSR;10;10;10;10;10;10
2025-01-20T16:13:25+00:00;TFEDJ2;10;10;10;10;10;10
2025-01-17T14:25:02+00:00;TFEDJD;9;9;9;7;9;8
2025-01-16T10:30:37+00:00;TFEDCS;10;10;10;10;10;10
2025-01-15T15:59:19+00:00;TFEDFG;9;10;10;10;10;10
2025-01-15T14:49:10+00:00;TFEDEL;10;10;10;10;10;10
2025-01-15T10:36:44+00:00;TFEDEG;10;10;10;10;10;10
2025-01-14T17:17:18+00:00;TFEDDS;10;10;10;10;10;10
2025-01-14T10:14:45+00:00;TFEDH1;10;10;10;10;10;10
2025-01-14T09:31:20+00:00;TFECT0;8;7;6;8;7;7
2025-01-14T09:10:41+00:00;TFECV9;10;10;7;7;8;10
2025-01-10T16:32:45+00:00;TFEDF2;10;8;10;10;10;9
2025-01-10T14:45:33+00:00;TFEDD5;10;10;10;10;10;10
2025-01-10T10:24:47+00:00;TFEDC2;10;10;10;10;10;10
2025-01-09T18:32:01+00:00;TFEDAK;10;10;10;10;10;10
2025-01-09T07:09:48+00:00;TFECZK;7;8;5;8;8;7
2025-01-08T16:33:16+00:00;TFEDC1;9;10;10;10;10;9
2025-01-06T20:19:57+00:00;TFEDCM;8;8;10;10;10;8
2025-01-06T16:56:26+00:00;TFED47;10;;;;;
2025-01-02T11:43:28+00:00;TFEDA8;10;10;10;10;10;10
